,coordinates,cost_text,desc,name,rooms
https://www.domain.com.au/3-ross-parade-wallan-vic-3756-16076458,"[-37.4254089, 144.9962065]",$390 per week," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",3 Ross Parade Wallan VIC 3756,"['4 Beds', '2 Baths', '2 Parking']"
https://www.domain.com.au/22-charles-street-wallan-vic-3756-16075870,"[-37.4221702, 144.9978551]",$400 per week," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",22 Charles Street Wallan VIC 3756,"['4 Beds', '2 Baths', '2 Parking']"
https://www.domain.com.au/12-seafarers-way-wallan-vic-3756-16071785,"[-37.4230887, 144.9998506]",$400 per week," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",12 Seafarers Way Wallan VIC 3756,"['4 Beds', '2 Baths', '2 Parking']"
https://www.domain.com.au/9-ross-parade-wallan-vic-3756-16070166,"[-37.4254089, 144.9962065]",$390 per week," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",9 Ross Parade Wallan VIC 3756,"['4 Beds', '2 Baths', '2 Parking']"
https://www.domain.com.au/11-solitaire-way-wallan-vic-3756-16067771,"[-37.4262947, 144.9996255]",$390 per week," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",11 Solitaire Way Wallan VIC 3756,"['4 Beds', '2 Baths', '2 Parking']"
https://www.domain.com.au/24-newbridge-boulevard-wallan-vic-3756-16065461,"[-37.4208894, 145.001784]",$380 per week," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",24 Newbridge Boulevard Wallan VIC 3756,"['4 Beds', '2 Baths', '2 Parking']"
https://www.domain.com.au/26-newbridge-boulevard-wallan-vic-3756-16065395,"[-37.4208894, 145.001784]",$380 per week," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",26 Newbridge Boulevard Wallan VIC 3756,"['4 Beds', '2 Baths', '2 Parking']"
https://www.domain.com.au/31-charles-street-wallan-vic-3756-16063258,"[-37.4225628, 145.0013501]",$400 per week," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",31 Charles Street Wallan VIC 3756,"['4 Beds', '2 Baths', '2 Parking']"
https://www.domain.com.au/60-hart-court-wallan-vic-3756-16057749,"[-37.419216, 145.0133233]",$700 per week," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",60 Hart Court Wallan VIC 3756,"['4 Beds', '2 Baths', '2 Parking']"
https://www.domain.com.au/10-mackinac-avenue-wallan-vic-3756-16054244,"[-37.424696, 144.9981886]",$440," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",10 Mackinac Avenue Wallan VIC 3756,"['4 Beds', '2 Baths', '2 Parking']"
